;Unnamed: 0;text;step1;tokens;final_tokens;step2;finalText_str;ProcessedText
1043;1043;i think most interactions in person are probably fine sufficiently respectful and polite that the ladies don t feel abused;think most interactions in person are probably fine sufficiently respectful and polite that the ladies don feel abused;['think', 'most', 'interactions', 'in', 'person', 'are', 'probably', 'fine', 'sufficiently', 'respectful', 'and', 'polite', 'that', 'the', 'ladies', 'don', 'feel', 'abused'];['think', 'most', 'interactions', 'in', 'person', 'are', 'probably', 'fine', 'sufficiently', 'respectful', 'and', 'polite', 'that', 'the', 'ladies', 'don', 'feel', 'abused'];think most interactions in person are probably fine sufficiently respectful and polite that the ladies don feel abused;think most interactions in person are probably fine sufficiently respectful and polite that the ladies don feel abused;think most interactions in person are probably fine sufficiently respectful polite that the ladies don feel abused
1044;1044;im feeling extremely fabulous with my jacket and shoes aint no bitches gonna bring me down hahah;im feeling fabulous with my jacket and shoes aint no bitches gonna bring me down hahah;['im', 'feeling', 'fabulous', 'with', 'my', 'jacket', 'and', 'shoes', 'aint', 'no', 'bitches', 'gon', 'na', 'bring', 'me', 'down', 'hahah'];['im', 'feeling', 'fabulous', 'with', 'my', 'jacket', 'and', 'shoes', 'aint', 'no', 'bitches', 'gon', 'na', 'bring', 'me', 'down', 'hahah'];im feeling fabulous with my jacket and shoes aint no bitches gon na bring me down hahah;im feeling fabulous with my jacket and shoes aint no bitches gon na bring me down hahah;feeling fabulous with my jacket shoes aint no bitches gon na bring me down hahah
1045;1045;ive have chosen to walk with jesus and maybe im feeling a bit miserable im going to suck it up and think about these three dudes;ive have chosen to walk with jesus and maybe im feeling bit miserable im going to suck it up and think about these three dudes;['ive', 'have', 'chosen', 'to', 'walk', 'with', 'jesus', 'and', 'maybe', 'im', 'feeling', 'bit', 'miserable', 'im', 'going', 'to', 'suck', 'it', 'up', 'and', 'think', 'about', 'these', 'three', 'dudes'];['ive', 'have', 'chosen', 'to', 'walk', 'with', 'jesus', 'and', 'maybe', 'im', 'feeling', 'bit', 'miserable', 'im', 'going', 'to', 'suck', 'it', 'up', 'and', 'think', 'about', 'these', 'three', 'dudes'];ive have chosen to walk with jesus and maybe im feeling bit miserable im going to suck it up and think about these three dudes;ive have chosen to walk with jesus and maybe im feeling bit miserable im going to suck it up and think about these three dudes;ive have chosen walk with jesus maybe feeling bit miserable going suck it up think about these three dudes
1046;1046;i had a good day but right now im feeling pretty irritable for no real reason meaning nothing significant happened to make me feel annoyed;had good day but right now im feeling pretty irritable for no real reason meaning nothing significant happened to make me feel annoyed;['had', 'good', 'day', 'but', 'right', 'now', 'im', 'feeling', 'pretty', 'irritable', 'for', 'no', 'real', 'reason', 'meaning', 'nothing', 'significant', 'happened', 'to', 'make', 'me', 'feel', 'annoyed'];['had', 'good', 'day', 'but', 'right', 'now', 'im', 'feeling', 'pretty', 'irritable', 'for', 'no', 'real', 'reason', 'meaning', 'nothing', 'significant', 'happened', 'to', 'make', 'me', 'feel', 'annoyed'];had good day but right now im feeling pretty irritable for no real reason meaning nothing significant happened to make me feel annoyed;had good day but right now im feeling pretty irritable for no real reason meaning nothing significant happened to make me feel annoyed;had good day but right now feeling pretty irritable for no real reason meaning nothing significant happened make me feel annoyed
1047;1047;i am feeling contented and pissed at the same time;am feeling contented and pissed at the same time;['am', 'feeling', 'contented', 'and', 'pissed', 'at', 'the', 'same', 'time'];['am', 'feeling', 'contented', 'and', 'pissed', 'at', 'the', 'same', 'time'];am feeling contented and pissed at the same time;am feeling contented and pissed at the same time;am feeling contented pissed at the same time
1048;1048;i wonder if the homeowners would feel weird if i parked to gape at their landscaping;wonder if the homeowners would feel weird if parked to gape at their landscaping;['wonder', 'if', 'the', 'homeowners', 'would', 'feel', 'weird', 'if', 'parked', 'to', 'gape', 'at', 'their', 'landscaping'];['wonder', 'if', 'the', 'homeowners', 'would', 'feel', 'weird', 'if', 'parked', 'to', 'gape', 'at', 'their', 'landscaping'];wonder if the homeowners would feel weird if parked to gape at their landscaping;wonder if the homeowners would feel weird if parked to gape at their landscaping;wonder if the homeowners would feel weird if parked gape at their landscaping
1049;1049;i both feel impatience at the rate of loss and impressed at the same time;both feel impatience at the rate of loss and impressed at the same time;['both', 'feel', 'impatience', 'at', 'the', 'rate', 'of', 'loss', 'and', 'impressed', 'at', 'the', 'same', 'time'];['both', 'feel', 'impatience', 'at', 'the', 'rate', 'of', 'loss', 'and', 'impressed', 'at', 'the', 'same', 'time'];both feel impatience at the rate of loss and impressed at the same time;both feel impatience at the rate of loss and impressed at the same time;both feel impatience at the rate of loss impressed at the same time
1050;1050;im a big guy and ive gotten into some of the rigs that weve worked with to try them out and see what they feel like and let me tell you it was less than pleasant;im big guy and ive gotten into some of the rigs that weve worked with to try them out and see what they feel like and let me tell you it was less than pleasant;['im', 'big', 'guy', 'and', 'ive', 'gotten', 'into', 'some', 'of', 'the', 'rigs', 'that', 'weve', 'worked', 'with', 'to', 'try', 'them', 'out', 'and', 'see', 'what', 'they', 'feel', 'like', 'and', 'let', 'me', 'tell', 'you', 'it', 'was', 'less', 'than', 'pleasant'];['im', 'big', 'guy', 'and', 'ive', 'gotten', 'into', 'some', 'of', 'the', 'rigs', 'that', 'weve', 'worked', 'with', 'to', 'try', 'them', 'out', 'and', 'see', 'what', 'they', 'feel', 'like', 'and', 'let', 'me', 'tell', 'you', 'it', 'was', 'less', 'than', 'pleasant'];im big guy and ive gotten into some of the rigs that weve worked with to try them out and see what they feel like and let me tell you it was less than pleasant;im big guy and ive gotten into some of the rigs that weve worked with to try them out and see what they feel like and let me tell you it was less than pleasant;big guy ive gotten into some of the rigs that weve worked with try them out see what they feel like let me tell you it was less than pleasant
1051;1051;i ran errands to buy cora a few newborn sized sleepers i had not previously made any newborn sized babies and went out to lunch to celebrate how great i was feeling i feel amazing no pain no pain meds and moving around almost completely normally at days out;ran errands to buy cora few newborn sized sleepers had not previously made any newborn sized babies and went out to lunch to celebrate how great was feeling feel amazing no pain no pain meds and moving around almost completely normally at days out;['ran', 'errands', 'to', 'buy', 'cora', 'few', 'newborn', 'sized', 'sleepers', 'had', 'not', 'previously', 'made', 'any', 'newborn', 'sized', 'babies', 'and', 'went', 'out', 'to', 'lunch', 'to', 'celebrate', 'how', 'great', 'was', 'feeling', 'feel', 'amazing', 'no', 'pain', 'no', 'pain', 'meds', 'and', 'moving', 'around', 'almost', 'completely', 'normally', 'at', 'days', 'out'];['ran', 'errands', 'to', 'buy', 'cora', 'few', 'newborn', 'sized', 'sleepers', 'had', 'not', 'previously', 'made', 'any', 'newborn', 'sized', 'babies', 'and', 'went', 'out', 'to', 'lunch', 'to', 'celebrate', 'how', 'great', 'was', 'feeling', 'feel', 'amazing', 'no', 'pain', 'no', 'pain', 'meds', 'and', 'moving', 'around', 'almost', 'completely', 'normally', 'at', 'days', 'out'];ran errands to buy cora few newborn sized sleepers had not previously made any newborn sized babies and went out to lunch to celebrate how great was feeling feel amazing no pain no pain meds and moving around almost completely normally at days out;ran errands to buy cora few newborn sized sleepers had not previously made any newborn sized babies and went out to lunch to celebrate how great was feeling feel amazing no pain no pain meds and moving around almost completely normally at days out;ran errands buy cora few newborn sized sleepers had not previously made any newborn sized babies went out lunch celebrate how great was feeling feel amazing no pain no pain meds moving around almost completely normally at days out
1052;1052;i really am not feeling child friendly;really am not feeling child friendly;['really', 'am', 'not', 'feeling', 'child', 'friendly'];['really', 'am', 'not', 'feeling', 'child', 'friendly'];really am not feeling child friendly;really am not feeling child friendly;really am not feeling child friendly
1053;1053;i feel furious with myself;feel furious with myself;['feel', 'furious', 'with', 'myself'];['feel', 'furious', 'with', 'myself'];feel furious with myself;feel furious with myself;feel furious with myself
1054;1054;i think or feel but like this person i am still amazed by them;think or feel but like this person am still amazed by them;['think', 'or', 'feel', 'but', 'like', 'this', 'person', 'am', 'still', 'amazed', 'by', 'them'];['think', 'or', 'feel', 'but', 'like', 'this', 'person', 'am', 'still', 'amazed', 'by', 'them'];think or feel but like this person am still amazed by them;think or feel but like this person am still amazed by them;think or feel but like this person am still amazed by them
1055;1055;i like to think i present myself and the life and times of the working mum to a good standard and if i ever do miss a apostrophe or miss spell a particular word please feel free to call me on it;like to think present myself and the life and times of the working mum to good standard and if ever do miss apostrophe or miss spell particular word please feel free to call me on it;['like', 'to', 'think', 'present', 'myself', 'and', 'the', 'life', 'and', 'times', 'of', 'the', 'working', 'mum', 'to', 'good', 'standard', 'and', 'if', 'ever', 'do', 'miss', 'apostrophe', 'or', 'miss', 'spell', 'particular', 'word', 'please', 'feel', 'free', 'to', 'call', 'me', 'on', 'it'];['like', 'to', 'think', 'present', 'myself', 'and', 'the', 'life', 'and', 'times', 'of', 'the', 'working', 'mum', 'to', 'good', 'standard', 'and', 'if', 'ever', 'do', 'miss', 'apostrophe', 'or', 'miss', 'spell', 'particular', 'word', 'please', 'feel', 'free', 'to', 'call', 'me', 'on', 'it'];like to think present myself and the life and times of the working mum to good standard and if ever do miss apostrophe or miss spell particular word please feel free to call me on it;like to think present myself and the life and times of the working mum to good standard and if ever do miss apostrophe or miss spell particular word please feel free to call me on it;like think present myself the life times of the working mum good standard if ever do miss apostrophe or miss spell particular word please feel free call me on it
1056;1056;i don t feel i can ask him what feels like a dumb question;don feel can ask him what feels like dumb question;['don', 'feel', 'can', 'ask', 'him', 'what', 'feels', 'like', 'dumb', 'question'];['don', 'feel', 'can', 'ask', 'him', 'what', 'feels', 'like', 'dumb', 'question'];don feel can ask him what feels like dumb question;don feel can ask him what feels like dumb question;don feel can ask him what feels like dumb question
1057;1057;i feel proud to know several people that have deserved to be advanced for a while now and finally picked it up this time around or last time in a few peoples cases;feel proud to know several people that have deserved to be advanced for while now and finally picked it up this time around or last time in few peoples cases;['feel', 'proud', 'to', 'know', 'several', 'people', 'that', 'have', 'deserved', 'to', 'be', 'advanced', 'for', 'while', 'now', 'and', 'finally', 'picked', 'it', 'up', 'this', 'time', 'around', 'or', 'last', 'time', 'in', 'few', 'peoples', 'cases'];['feel', 'proud', 'to', 'know', 'several', 'people', 'that', 'have', 'deserved', 'to', 'be', 'advanced', 'for', 'while', 'now', 'and', 'finally', 'picked', 'it', 'up', 'this', 'time', 'around', 'or', 'last', 'time', 'in', 'few', 'peoples', 'cases'];feel proud to know several people that have deserved to be advanced for while now and finally picked it up this time around or last time in few peoples cases;feel proud to know several people that have deserved to be advanced for while now and finally picked it up this time around or last time in few peoples cases;feel proud know several people that have deserved be advanced for while now finally picked it up this time around or last time in few peoples cases
1058;1058;i give up from my goals if i feel them boring;give up from my goals if feel them boring;['give', 'up', 'from', 'my', 'goals', 'if', 'feel', 'them', 'boring'];['give', 'up', 'from', 'my', 'goals', 'if', 'feel', 'them', 'boring'];give up from my goals if feel them boring;give up from my goals if feel them boring;give up from my goals if feel them boring
1059;1059;i was careful to make sure the characters featured you can feel sympathetic;was careful to make sure the characters featured you can feel sympathetic;['was', 'careful', 'to', 'make', 'sure', 'the', 'characters', 'featured', 'you', 'can', 'feel', 'sympathetic'];['was', 'careful', 'to', 'make', 'sure', 'the', 'characters', 'featured', 'you', 'can', 'feel', 'sympathetic'];was careful to make sure the characters featured you can feel sympathetic;was careful to make sure the characters featured you can feel sympathetic;was careful make sure the characters featured you can feel sympathetic
1060;1060;i didnt make it to my weight watchers meeting feeling guilty i made sure i had a healthy breakfast consisting of museli yoghurt and fruit;didnt make it to my weight watchers meeting feeling guilty made sure had healthy breakfast consisting of museli yoghurt and fruit;['didnt', 'make', 'it', 'to', 'my', 'weight', 'watchers', 'meeting', 'feeling', 'guilty', 'made', 'sure', 'had', 'healthy', 'breakfast', 'consisting', 'of', 'museli', 'yoghurt', 'and', 'fruit'];['didnt', 'make', 'it', 'to', 'my', 'weight', 'watchers', 'meeting', 'feeling', 'guilty', 'made', 'sure', 'had', 'healthy', 'breakfast', 'consisting', 'of', 'museli', 'yoghurt', 'and', 'fruit'];didnt make it to my weight watchers meeting feeling guilty made sure had healthy breakfast consisting of museli yoghurt and fruit;didnt make it to my weight watchers meeting feeling guilty made sure had healthy breakfast consisting of museli yoghurt and fruit;didnt make it my weight watchers meeting feeling guilty made sure had healthy breakfast consisting of museli yoghurt fruit
1061;1061;i am feeling the tender spot on my foot when i flex it a certain way so it is back to wearing shoes all day for this cowboy;am feeling the tender spot on my foot when flex it certain way so it is back to wearing shoes all day for this cowboy;['am', 'feeling', 'the', 'tender', 'spot', 'on', 'my', 'foot', 'when', 'flex', 'it', 'certain', 'way', 'so', 'it', 'is', 'back', 'to', 'wearing', 'shoes', 'all', 'day', 'for', 'this', 'cowboy'];['am', 'feeling', 'the', 'tender', 'spot', 'on', 'my', 'foot', 'when', 'flex', 'it', 'certain', 'way', 'so', 'it', 'is', 'back', 'to', 'wearing', 'shoes', 'all', 'day', 'for', 'this', 'cowboy'];am feeling the tender spot on my foot when flex it certain way so it is back to wearing shoes all day for this cowboy;am feeling the tender spot on my foot when flex it certain way so it is back to wearing shoes all day for this cowboy;am feeling the tender spot on my foot when flex it certain way so it is back wearing shoes all day for this cowboy
1062;1062;i know how that feels weird right;know how that feels weird right;['know', 'how', 'that', 'feels', 'weird', 'right'];['know', 'how', 'that', 'feels', 'weird', 'right'];know how that feels weird right;know how that feels weird right;know how that feels weird right
1063;1063;i thought yoga was supposed to make me feel tranquil peaceful and sculpt my legs into those of a greek goddess;thought yoga was supposed to make me feel tranquil peaceful and sculpt my legs into those of greek goddess;['thought', 'yoga', 'was', 'supposed', 'to', 'make', 'me', 'feel', 'tranquil', 'peaceful', 'and', 'sculpt', 'my', 'legs', 'into', 'those', 'of', 'greek', 'goddess'];['thought', 'yoga', 'was', 'supposed', 'to', 'make', 'me', 'feel', 'tranquil', 'peaceful', 'and', 'sculpt', 'my', 'legs', 'into', 'those', 'of', 'greek', 'goddess'];thought yoga was supposed to make me feel tranquil peaceful and sculpt my legs into those of greek goddess;thought yoga was supposed to make me feel tranquil peaceful and sculpt my legs into those of greek goddess;thought yoga was supposed make me feel tranquil peaceful sculpt my legs into those of greek goddess
1064;1064;i just feel its one of those things you dont talk about too much because then too many people come to know and then the plan doesnt taste as sweet nor does it feel like a plan;just feel its one of those things you dont talk about too much because then too many people come to know and then the plan doesnt taste as sweet nor does it feel like plan;['just', 'feel', 'its', 'one', 'of', 'those', 'things', 'you', 'dont', 'talk', 'about', 'too', 'much', 'because', 'then', 'too', 'many', 'people', 'come', 'to', 'know', 'and', 'then', 'the', 'plan', 'doesnt', 'taste', 'as', 'sweet', 'nor', 'does', 'it', 'feel', 'like', 'plan'];['just', 'feel', 'its', 'one', 'of', 'those', 'things', 'you', 'dont', 'talk', 'about', 'too', 'much', 'because', 'then', 'too', 'many', 'people', 'come', 'to', 'know', 'and', 'then', 'the', 'plan', 'doesnt', 'taste', 'as', 'sweet', 'nor', 'does', 'it', 'feel', 'like', 'plan'];just feel its one of those things you dont talk about too much because then too many people come to know and then the plan doesnt taste as sweet nor does it feel like plan;just feel its one of those things you dont talk about too much because then too many people come to know and then the plan doesnt taste as sweet nor does it feel like plan;just feel its one of those things you dont talk about too much because then too many people come know then the plan doesnt taste as sweet nor does it feel like plan
1065;1065;i left the theater i ran my hand sadly over the plush red backs of the seats in front of me feeling almost mournful that i wasnt going to be back for a long time;left the theater ran my hand sadly over the plush red backs of the seats in front of me feeling almost mournful that wasnt going to be back for long time;['left', 'the', 'theater', 'ran', 'my', 'hand', 'sadly', 'over', 'the', 'plush', 'red', 'backs', 'of', 'the', 'seats', 'in', 'front', 'of', 'me', 'feeling', 'almost', 'mournful', 'that', 'wasnt', 'going', 'to', 'be', 'back', 'for', 'long', 'time'];['left', 'the', 'theater', 'ran', 'my', 'hand', 'sadly', 'over', 'the', 'plush', 'red', 'backs', 'of', 'the', 'seats', 'in', 'front', 'of', 'me', 'feeling', 'almost', 'mournful', 'that', 'wasnt', 'going', 'to', 'be', 'back', 'for', 'long', 'time'];left the theater ran my hand sadly over the plush red backs of the seats in front of me feeling almost mournful that wasnt going to be back for long time;left the theater ran my hand sadly over the plush red backs of the seats in front of me feeling almost mournful that wasnt going to be back for long time;left the theater ran my hand sadly over the plush red backs of the seats in front of me feeling almost mournful that wasnt going be back for long time
1066;1066;i asked some girls what it meant to them to be valued and for the most part the response was that they felt valued when the people around them made them feel valued and treated them in a loving and caring manner;asked some girls what it meant to them to be valued and for the most part the response was that they felt valued when the people around them made them feel valued and treated them in loving and caring manner;['asked', 'some', 'girls', 'what', 'it', 'meant', 'to', 'them', 'to', 'be', 'valued', 'and', 'for', 'the', 'most', 'part', 'the', 'response', 'was', 'that', 'they', 'felt', 'valued', 'when', 'the', 'people', 'around', 'them', 'made', 'them', 'feel', 'valued', 'and', 'treated', 'them', 'in', 'loving', 'and', 'caring', 'manner'];['asked', 'some', 'girls', 'what', 'it', 'meant', 'to', 'them', 'to', 'be', 'valued', 'and', 'for', 'the', 'most', 'part', 'the', 'response', 'was', 'that', 'they', 'felt', 'valued', 'when', 'the', 'people', 'around', 'them', 'made', 'them', 'feel', 'valued', 'and', 'treated', 'them', 'in', 'loving', 'and', 'caring', 'manner'];asked some girls what it meant to them to be valued and for the most part the response was that they felt valued when the people around them made them feel valued and treated them in loving and caring manner;asked some girls what it meant to them to be valued and for the most part the response was that they felt valued when the people around them made them feel valued and treated them in loving and caring manner;asked some girls what it meant them be valued for the most part the response was that they felt valued when the people around them made them feel valued treated them in loving caring manner
1067;1067;i am feeling very petty right now;am feeling very petty right now;['am', 'feeling', 'very', 'petty', 'right', 'now'];['am', 'feeling', 'very', 'petty', 'right', 'now'];am feeling very petty right now;am feeling very petty right now;am feeling very petty right now
1068;1068;i wasn t the person who was helping i realized that it was i who inspired all these people to start charity work and i can t help but feel proud;wasn the person who was helping realized that it was who inspired all these people to start charity work and can help but feel proud;['wasn', 'the', 'person', 'who', 'was', 'helping', 'realized', 'that', 'it', 'was', 'who', 'inspired', 'all', 'these', 'people', 'to', 'start', 'charity', 'work', 'and', 'can', 'help', 'but', 'feel', 'proud'];['wasn', 'the', 'person', 'who', 'was', 'helping', 'realized', 'that', 'it', 'was', 'who', 'inspired', 'all', 'these', 'people', 'to', 'start', 'charity', 'work', 'and', 'can', 'help', 'but', 'feel', 'proud'];wasn the person who was helping realized that it was who inspired all these people to start charity work and can help but feel proud;wasn the person who was helping realized that it was who inspired all these people to start charity work and can help but feel proud;wasn the person who was helping realized that it was who inspired all these people start charity work can help but feel proud
1069;1069;i feel so amazingly overwhelming thrilled for my wedding;feel so amazingly overwhelming thrilled for my wedding;['feel', 'so', 'amazingly', 'overwhelming', 'thrilled', 'for', 'my', 'wedding'];['feel', 'so', 'amazingly', 'overwhelming', 'thrilled', 'for', 'my', 'wedding'];feel so amazingly overwhelming thrilled for my wedding;feel so amazingly overwhelming thrilled for my wedding;feel so amazingly overwhelming thrilled for my wedding
1070;1070;i feel shame in a strange way;feel shame in strange way;['feel', 'shame', 'in', 'strange', 'way'];['feel', 'shame', 'in', 'strange', 'way'];feel shame in strange way;feel shame in strange way;feel shame in strange way
1071;1071;i suspect much of the country feels after the tragic events of last week;suspect much of the country feels after the tragic events of last week;['suspect', 'much', 'of', 'the', 'country', 'feels', 'after', 'the', 'tragic', 'events', 'of', 'last', 'week'];['suspect', 'much', 'of', 'the', 'country', 'feels', 'after', 'the', 'tragic', 'events', 'of', 'last', 'week'];suspect much of the country feels after the tragic events of last week;suspect much of the country feels after the tragic events of last week;suspect much of the country feels after the tragic events of last week
1072;1072;i feel like that because for the most part i have accepted that this is a part of my life and that people will never changed;feel like that because for the most part have accepted that this is part of my life and that people will never changed;['feel', 'like', 'that', 'because', 'for', 'the', 'most', 'part', 'have', 'accepted', 'that', 'this', 'is', 'part', 'of', 'my', 'life', 'and', 'that', 'people', 'will', 'never', 'changed'];['feel', 'like', 'that', 'because', 'for', 'the', 'most', 'part', 'have', 'accepted', 'that', 'this', 'is', 'part', 'of', 'my', 'life', 'and', 'that', 'people', 'will', 'never', 'changed'];feel like that because for the most part have accepted that this is part of my life and that people will never changed;feel like that because for the most part have accepted that this is part of my life and that people will never changed;feel like that because for the most part have accepted that this is part of my life that people will never changed
1073;1073;i find it relaxes me and i feel productive making food as the end product should taste nice and will satisfy myself and other people;find it rela me and feel productive making food as the end product should taste nice and will satisfy myself and other people;['find', 'it', 'rela', 'me', 'and', 'feel', 'productive', 'making', 'food', 'as', 'the', 'end', 'product', 'should', 'taste', 'nice', 'and', 'will', 'satisfy', 'myself', 'and', 'other', 'people'];['find', 'it', 'rela', 'me', 'and', 'feel', 'productive', 'making', 'food', 'as', 'the', 'end', 'product', 'should', 'taste', 'nice', 'and', 'will', 'satisfy', 'myself', 'and', 'other', 'people'];find it rela me and feel productive making food as the end product should taste nice and will satisfy myself and other people;find it rela me and feel productive making food as the end product should taste nice and will satisfy myself and other people;find it rela me feel productive making food as the end product should taste nice will satisfy myself other people
1074;1074;i feel that sometimes i ve been distracted and neglectful i am thankful that this is not about adding another box to check in my otherwise busy days;feel that sometimes ve been distracted and neglectful am thankful that this is not about adding another box to check in my otherwise busy days;['feel', 'that', 'sometimes', 've', 'been', 'distracted', 'and', 'neglectful', 'am', 'thankful', 'that', 'this', 'is', 'not', 'about', 'adding', 'another', 'box', 'to', 'check', 'in', 'my', 'otherwise', 'busy', 'days'];['feel', 'that', 'sometimes', 've', 'been', 'distracted', 'and', 'neglectful', 'am', 'thankful', 'that', 'this', 'is', 'not', 'about', 'adding', 'another', 'box', 'to', 'check', 'in', 'my', 'otherwise', 'busy', 'days'];feel that sometimes ve been distracted and neglectful am thankful that this is not about adding another box to check in my otherwise busy days;feel that sometimes ve been distracted and neglectful am thankful that this is not about adding another box to check in my otherwise busy days;feel that sometimes ve been distracted neglectful am thankful that this is not about adding another box check in my otherwise busy days
1075;1075;i feel about these individuals but that opening line shows how inadequate simple words can be;feel about these individuals but that opening line shows how inadequate simple words can be;['feel', 'about', 'these', 'individuals', 'but', 'that', 'opening', 'line', 'shows', 'how', 'inadequate', 'simple', 'words', 'can', 'be'];['feel', 'about', 'these', 'individuals', 'but', 'that', 'opening', 'line', 'shows', 'how', 'inadequate', 'simple', 'words', 'can', 'be'];feel about these individuals but that opening line shows how inadequate simple words can be;feel about these individuals but that opening line shows how inadequate simple words can be;feel about these individuals but that opening line shows how inadequate simple words can be
1076;1076;ive been too deep down in the swamps swimming in muddy waters tortured by fear feeling lonely and lost;ive been too deep down in the swamps swimming in muddy waters tortured by fear feeling lonely and lost;['ive', 'been', 'too', 'deep', 'down', 'in', 'the', 'swamps', 'swimming', 'in', 'muddy', 'waters', 'tortured', 'by', 'fear', 'feeling', 'lonely', 'and', 'lost'];['ive', 'been', 'too', 'deep', 'down', 'in', 'the', 'swamps', 'swimming', 'in', 'muddy', 'waters', 'tortured', 'by', 'fear', 'feeling', 'lonely', 'and', 'lost'];ive been too deep down in the swamps swimming in muddy waters tortured by fear feeling lonely and lost;ive been too deep down in the swamps swimming in muddy waters tortured by fear feeling lonely and lost;ive been too deep down in the swamps swimming in muddy waters tortured by fear feeling lonely lost
1077;1077;i didn t feel talented at anything i was doing and eventually wasn t putting fully into it;didn feel talented at anything was doing and eventually wasn putting fully into it;['didn', 'feel', 'talented', 'at', 'anything', 'was', 'doing', 'and', 'eventually', 'wasn', 'putting', 'fully', 'into', 'it'];['didn', 'feel', 'talented', 'at', 'anything', 'was', 'doing', 'and', 'eventually', 'wasn', 'putting', 'fully', 'into', 'it'];didn feel talented at anything was doing and eventually wasn putting fully into it;didn feel talented at anything was doing and eventually wasn putting fully into it;didn feel talented at anything was doing eventually wasn putting fully into it
1078;1078;i read her blog is that i feel that shes one person who doesnt care how people look at her and believes in being herself no matter how bitchy annoying or self centered that may seem to people;read her blog is that feel that shes one person who doesnt care how people look at her and believes in being herself no matter how bitchy annoying or self centered that may seem to people;['read', 'her', 'blog', 'is', 'that', 'feel', 'that', 'shes', 'one', 'person', 'who', 'doesnt', 'care', 'how', 'people', 'look', 'at', 'her', 'and', 'believes', 'in', 'being', 'herself', 'no', 'matter', 'how', 'bitchy', 'annoying', 'or', 'self', 'centered', 'that', 'may', 'seem', 'to', 'people'];['read', 'her', 'blog', 'is', 'that', 'feel', 'that', 'shes', 'one', 'person', 'who', 'doesnt', 'care', 'how', 'people', 'look', 'at', 'her', 'and', 'believes', 'in', 'being', 'herself', 'no', 'matter', 'how', 'bitchy', 'annoying', 'or', 'self', 'centered', 'that', 'may', 'seem', 'to', 'people'];read her blog is that feel that shes one person who doesnt care how people look at her and believes in being herself no matter how bitchy annoying or self centered that may seem to people;read her blog is that feel that shes one person who doesnt care how people look at her and believes in being herself no matter how bitchy annoying or self centered that may seem to people;read her blog is that feel that shes one person who doesnt care how people look at her believes in being herself no matter how bitchy annoying or self centered that may seem people
1079;1079;i am sat here feeling mightily distracted and not wanting to write the next scene of my nano just yet rape torture bad stuff;am sat here feeling mightily distracted and not wanting to write the ne scene of my nano just yet rape torture bad stuff;['am', 'sat', 'here', 'feeling', 'mightily', 'distracted', 'and', 'not', 'wanting', 'to', 'write', 'the', 'ne', 'scene', 'of', 'my', 'nano', 'just', 'yet', 'rape', 'torture', 'bad', 'stuff'];['am', 'sat', 'here', 'feeling', 'mightily', 'distracted', 'and', 'not', 'wanting', 'to', 'write', 'the', 'ne', 'scene', 'of', 'my', 'nano', 'just', 'yet', 'rape', 'torture', 'bad', 'stuff'];am sat here feeling mightily distracted and not wanting to write the ne scene of my nano just yet rape torture bad stuff;am sat here feeling mightily distracted and not wanting to write the ne scene of my nano just yet rape torture bad stuff;am sat here feeling mightily distracted not wanting write the ne scene of my nano just yet rape torture bad stuff
1080;1080;i came across something which made me feel lousy;came across something which made me feel lousy;['came', 'across', 'something', 'which', 'made', 'me', 'feel', 'lousy'];['came', 'across', 'something', 'which', 'made', 'me', 'feel', 'lousy'];came across something which made me feel lousy;came across something which made me feel lousy;came across something which made me feel lousy
1081;1081;i love rides but wasnt feeling too hot this day;love rides but wasnt feeling too hot this day;['love', 'rides', 'but', 'wasnt', 'feeling', 'too', 'hot', 'this', 'day'];['love', 'rides', 'but', 'wasnt', 'feeling', 'too', 'hot', 'this', 'day'];love rides but wasnt feeling too hot this day;love rides but wasnt feeling too hot this day;love rides but wasnt feeling too hot this day
1082;1082;i feel bothered by any of these things i open a door;feel bothered by any of these things open door;['feel', 'bothered', 'by', 'any', 'of', 'these', 'things', 'open', 'door'];['feel', 'bothered', 'by', 'any', 'of', 'these', 'things', 'open', 'door'];feel bothered by any of these things open door;feel bothered by any of these things open door;feel bothered by any of these things open door
1083;1083;i found myself feeling nostalgic as i thought about the temporarily abandoned little bishop chronicles;found myself feeling nostalgic as thought about the temporarily abandoned little bishop chronicles;['found', 'myself', 'feeling', 'nostalgic', 'as', 'thought', 'about', 'the', 'temporarily', 'abandoned', 'little', 'bishop', 'chronicles'];['found', 'myself', 'feeling', 'nostalgic', 'as', 'thought', 'about', 'the', 'temporarily', 'abandoned', 'little', 'bishop', 'chronicles'];found myself feeling nostalgic as thought about the temporarily abandoned little bishop chronicles;found myself feeling nostalgic as thought about the temporarily abandoned little bishop chronicles;found myself feeling nostalgic as thought about the temporarily abandoned little bishop chronicles
