;text;step1;tokens;final_tokens;step2
929;i feel so special and when i want mashed potatoes pronto i get mashed potatoes pronto;feel so special and when want mashed potatoes pronto get mashed potatoes pronto;['feel', 'so', 'special', 'and', 'when', 'want', 'mashed', 'potatoes', 'pronto', 'get', 'mashed', 'potatoes', 'pronto'];['feel', 'so', 'special', 'and', 'when', 'want', 'mashed', 'potatoes', 'pronto', 'get', 'mashed', 'potatoes', 'pronto'];feel so special and when want mashed potatoes pronto get mashed potatoes pronto
930;i cant remember exactly what made me stop using it but i have a feeling i got distracted by other hair products and just sort of forgot about this one;cant remember what made me stop using it but have feeling got distracted by other hair products and just sort of forgot about this one;['cant', 'remember', 'what', 'made', 'me', 'stop', 'using', 'it', 'but', 'have', 'feeling', 'got', 'distracted', 'by', 'other', 'hair', 'products', 'and', 'just', 'sort', 'of', 'forgot', 'about', 'this', 'one'];['cant', 'remember', 'what', 'made', 'me', 'stop', 'using', 'it', 'but', 'have', 'feeling', 'got', 'distracted', 'by', 'other', 'hair', 'products', 'and', 'just', 'sort', 'of', 'forgot', 'about', 'this', 'one'];cant remember what made me stop using it but have feeling got distracted by other hair products and just sort of forgot about this one
931;i can feel some kind of acceptance in the song which is why i gave the photo a kind of ecstatic ascension to a higher level of conscience aesthetic like a rapture of sort;can feel some kind of acceptance in the song which is why gave the photo kind of ecstatic ascension to higher level of conscience aesthetic like rapture of sort;['can', 'feel', 'some', 'kind', 'of', 'acceptance', 'in', 'the', 'song', 'which', 'is', 'why', 'gave', 'the', 'photo', 'kind', 'of', 'ecstatic', 'ascension', 'to', 'higher', 'level', 'of', 'conscience', 'aesthetic', 'like', 'rapture', 'of', 'sort'];['can', 'feel', 'some', 'kind', 'of', 'acceptance', 'in', 'the', 'song', 'which', 'is', 'why', 'gave', 'the', 'photo', 'kind', 'of', 'ecstatic', 'ascension', 'to', 'higher', 'level', 'of', 'conscience', 'aesthetic', 'like', 'rapture', 'of', 'sort'];can feel some kind of acceptance in the song which is why gave the photo kind of ecstatic ascension to higher level of conscience aesthetic like rapture of sort
932;i am or who i m with i always feel alone;am or who with always feel alone;['am', 'or', 'who', 'with', 'always', 'feel', 'alone'];['am', 'or', 'who', 'with', 'always', 'feel', 'alone'];am or who with always feel alone
933;i have a feeling hell be the kid up there shooting daggers out of his eyes annoyed that hes standing up there holding flowers;have feeling hell be the kid up there shooting daggers out of his eyes annoyed that hes standing up there holding flowers;['have', 'feeling', 'hell', 'be', 'the', 'kid', 'up', 'there', 'shooting', 'daggers', 'out', 'of', 'his', 'eyes', 'annoyed', 'that', 'hes', 'standing', 'up', 'there', 'holding', 'flowers'];['have', 'feeling', 'hell', 'be', 'the', 'kid', 'up', 'there', 'shooting', 'daggers', 'out', 'of', 'his', 'eyes', 'annoyed', 'that', 'hes', 'standing', 'up', 'there', 'holding', 'flowers'];have feeling hell be the kid up there shooting daggers out of his eyes annoyed that hes standing up there holding flowers
934;i dont know if i feel thrilled at finally getting to go camping again with people i like and know first time where thats happened;dont know if feel thrilled at finally getting to go camping again with people like and know first time where thats happened;['dont', 'know', 'if', 'feel', 'thrilled', 'at', 'finally', 'getting', 'to', 'go', 'camping', 'again', 'with', 'people', 'like', 'and', 'know', 'first', 'time', 'where', 'thats', 'happened'];['dont', 'know', 'if', 'feel', 'thrilled', 'at', 'finally', 'getting', 'to', 'go', 'camping', 'again', 'with', 'people', 'like', 'and', 'know', 'first', 'time', 'where', 'thats', 'happened'];dont know if feel thrilled at finally getting to go camping again with people like and know first time where thats happened
935;i feel and talk like a disadvantaged child and am waiting for half my face to come back to me;feel and talk like disadvantaged child and am waiting for half my face to come back to me;['feel', 'and', 'talk', 'like', 'disadvantaged', 'child', 'and', 'am', 'waiting', 'for', 'half', 'my', 'face', 'to', 'come', 'back', 'to', 'me'];['feel', 'and', 'talk', 'like', 'disadvantaged', 'child', 'and', 'am', 'waiting', 'for', 'half', 'my', 'face', 'to', 'come', 'back', 'to', 'me'];feel and talk like disadvantaged child and am waiting for half my face to come back to me
936;i can t help but feel really nostalgic of the disney levels;can help but feel really nostalgic of the disney levels;['can', 'help', 'but', 'feel', 'really', 'nostalgic', 'of', 'the', 'disney', 'levels'];['can', 'help', 'but', 'feel', 'really', 'nostalgic', 'of', 'the', 'disney', 'levels'];can help but feel really nostalgic of the disney levels
937;i feel is entirely more dangerous;feel is entirely more dangerous;['feel', 'is', 'entirely', 'more', 'dangerous'];['feel', 'is', 'entirely', 'more', 'dangerous'];feel is entirely more dangerous
938;i remember feeling thrilled to use my nursing skills relieved that i could have a few days out of the house and i remember that at first it was hard but then it was no problem;remember feeling thrilled to use my nursing skills relieved that could have few days out of the house and remember that at first it was hard but then it was no problem;['remember', 'feeling', 'thrilled', 'to', 'use', 'my', 'nursing', 'skills', 'relieved', 'that', 'could', 'have', 'few', 'days', 'out', 'of', 'the', 'house', 'and', 'remember', 'that', 'at', 'first', 'it', 'was', 'hard', 'but', 'then', 'it', 'was', 'no', 'problem'];['remember', 'feeling', 'thrilled', 'to', 'use', 'my', 'nursing', 'skills', 'relieved', 'that', 'could', 'have', 'few', 'days', 'out', 'of', 'the', 'house', 'and', 'remember', 'that', 'at', 'first', 'it', 'was', 'hard', 'but', 'then', 'it', 'was', 'no', 'problem'];remember feeling thrilled to use my nursing skills relieved that could have few days out of the house and remember that at first it was hard but then it was no problem
939;i found myself being amazed at how mid s f would feel a tad cool as if perhaps a sweatshirt wouldve been a good idea;found myself being amazed at how mid would feel tad cool as if perhaps sweatshirt wouldve been good idea;['found', 'myself', 'being', 'amazed', 'at', 'how', 'mid', 'would', 'feel', 'tad', 'cool', 'as', 'if', 'perhaps', 'sweatshirt', 'wouldve', 'been', 'good', 'idea'];['found', 'myself', 'being', 'amazed', 'at', 'how', 'mid', 'would', 'feel', 'tad', 'cool', 'as', 'if', 'perhaps', 'sweatshirt', 'wouldve', 'been', 'good', 'idea'];found myself being amazed at how mid would feel tad cool as if perhaps sweatshirt wouldve been good idea
940;i feel like a may have mislead the very gracious readers of this blog;feel like may have mislead the very gracious readers of this blog;['feel', 'like', 'may', 'have', 'mislead', 'the', 'very', 'gracious', 'readers', 'of', 'this', 'blog'];['feel', 'like', 'may', 'have', 'mislead', 'the', 'very', 'gracious', 'readers', 'of', 'this', 'blog'];feel like may have mislead the very gracious readers of this blog
941;i still feel confused and guilty about the whole thing;still feel confused and guilty about the whole thing;['still', 'feel', 'confused', 'and', 'guilty', 'about', 'the', 'whole', 'thing'];['still', 'feel', 'confused', 'and', 'guilty', 'about', 'the', 'whole', 'thing'];still feel confused and guilty about the whole thing
942;i feel intimidated by the tasks you feel overwhelmed by huge and complicated tasks;feel intimidated by the tasks you feel overwhelmed by huge and complicated tasks;['feel', 'intimidated', 'by', 'the', 'tasks', 'you', 'feel', 'overwhelmed', 'by', 'huge', 'and', 'complicated', 'tasks'];['feel', 'intimidated', 'by', 'the', 'tasks', 'you', 'feel', 'overwhelmed', 'by', 'huge', 'and', 'complicated', 'tasks'];feel intimidated by the tasks you feel overwhelmed by huge and complicated tasks
943;i was feeling emotional crying for no apparent reason but at the time it feels like the world is ending;was feeling emotional crying for no apparent reason but at the time it feels like the world is ending;['was', 'feeling', 'emotional', 'crying', 'for', 'no', 'apparent', 'reason', 'but', 'at', 'the', 'time', 'it', 'feels', 'like', 'the', 'world', 'is', 'ending'];['was', 'feeling', 'emotional', 'crying', 'for', 'no', 'apparent', 'reason', 'but', 'at', 'the', 'time', 'it', 'feels', 'like', 'the', 'world', 'is', 'ending'];was feeling emotional crying for no apparent reason but at the time it feels like the world is ending
944;i feel lonely and sad when i cannot talk to you during the day while i get a moment at my desk;feel lonely and sad when cannot talk to you during the day while get moment at my desk;['feel', 'lonely', 'and', 'sad', 'when', 'can', 'not', 'talk', 'to', 'you', 'during', 'the', 'day', 'while', 'get', 'moment', 'at', 'my', 'desk'];['feel', 'lonely', 'and', 'sad', 'when', 'can', 'not', 'talk', 'to', 'you', 'during', 'the', 'day', 'while', 'get', 'moment', 'at', 'my', 'desk'];feel lonely and sad when can not talk to you during the day while get moment at my desk
945;i still sit back and feel amazed by the whole thing;still sit back and feel amazed by the whole thing;['still', 'sit', 'back', 'and', 'feel', 'amazed', 'by', 'the', 'whole', 'thing'];['still', 'sit', 'back', 'and', 'feel', 'amazed', 'by', 'the', 'whole', 'thing'];still sit back and feel amazed by the whole thing
946;i feel rejected and i cant find what ive left behind;feel rejected and cant find what ive left behind;['feel', 'rejected', 'and', 'cant', 'find', 'what', 'ive', 'left', 'behind'];['feel', 'rejected', 'and', 'cant', 'find', 'what', 'ive', 'left', 'behind'];feel rejected and cant find what ive left behind
947;i feel like i cant have dirty dishes piled up laundry strewn about or toys scattered everywhere;feel like cant have dirty dishes piled up laundry strewn about or toys scattered everywhere;['feel', 'like', 'cant', 'have', 'dirty', 'dishes', 'piled', 'up', 'laundry', 'strewn', 'about', 'or', 'toys', 'scattered', 'everywhere'];['feel', 'like', 'cant', 'have', 'dirty', 'dishes', 'piled', 'up', 'laundry', 'strewn', 'about', 'or', 'toys', 'scattered', 'everywhere'];feel like cant have dirty dishes piled up laundry strewn about or toys scattered everywhere
948;i feel more so lately than ever that life is so precious;feel more so lately than ever that life is so precious;['feel', 'more', 'so', 'lately', 'than', 'ever', 'that', 'life', 'is', 'so', 'precious'];['feel', 'more', 'so', 'lately', 'than', 'ever', 'that', 'life', 'is', 'so', 'precious'];feel more so lately than ever that life is so precious
949;i feel completely burdened with my own intelligence;feel completely burdened with my own intelligence;['feel', 'completely', 'burdened', 'with', 'my', 'own', 'intelligence'];['feel', 'completely', 'burdened', 'with', 'my', 'own', 'intelligence'];feel completely burdened with my own intelligence
950;i cant think of any emotional state that is worse than feeling generally worthless and unlovable;cant think of any emotional state that is worse than feeling generally worthless and unlovable;['cant', 'think', 'of', 'any', 'emotional', 'state', 'that', 'is', 'worse', 'than', 'feeling', 'generally', 'worthless', 'and', 'unlovable'];['cant', 'think', 'of', 'any', 'emotional', 'state', 'that', 'is', 'worse', 'than', 'feeling', 'generally', 'worthless', 'and', 'unlovable'];cant think of any emotional state that is worse than feeling generally worthless and unlovable
951;i dont have any photos with me because i was too excited and happy about my prejudging which i did great btw at least i feel tt i did since i felt confident and didnt stutter in front the panel of judges we had and dearest bf was around after doors opened for the public;dont have any photos with me because was too and happy about my prejudging which did great btw at least feel tt did since felt confident and didnt stutter in front the panel of judges we had and dearest bf was around after doors opened for the public;['dont', 'have', 'any', 'photos', 'with', 'me', 'because', 'was', 'too', 'and', 'happy', 'about', 'my', 'prejudging', 'which', 'did', 'great', 'btw', 'at', 'least', 'feel', 'tt', 'did', 'since', 'felt', 'confident', 'and', 'didnt', 'stutter', 'in', 'front', 'the', 'panel', 'of', 'judges', 'we', 'had', 'and', 'dearest', 'bf', 'was', 'around', 'after', 'doors', 'opened', 'for', 'the', 'public'];['dont', 'have', 'any', 'photos', 'with', 'me', 'because', 'was', 'too', 'and', 'happy', 'about', 'my', 'prejudging', 'which', 'did', 'great', 'btw', 'at', 'least', 'feel', 'tt', 'did', 'since', 'felt', 'confident', 'and', 'didnt', 'stutter', 'in', 'front', 'the', 'panel', 'of', 'judges', 'we', 'had', 'and', 'dearest', 'bf', 'was', 'around', 'after', 'doors', 'opened', 'for', 'the', 'public'];dont have any photos with me because was too and happy about my prejudging which did great btw at least feel tt did since felt confident and didnt stutter in front the panel of judges we had and dearest bf was around after doors opened for the public
952;im feeling jolly by a href http www;im feeling jolly by href http www;['im', 'feeling', 'jolly', 'by', 'href', 'http', 'www'];['im', 'feeling', 'jolly', 'by', 'href', 'http', 'www'];im feeling jolly by href http www
953;i feel fake because i think if you really want to have a good conversation and make good contact you have to appear especially self confident and even risk talking to some people which are no good to talk to at all until you meet one person which you have a good connection to;feel fake because think if you really want to have good conversation and make good contact you have to appear especially self confident and even risk talking to some people which are no good to talk to at all until you meet one person which you have good connection to;['feel', 'fake', 'because', 'think', 'if', 'you', 'really', 'want', 'to', 'have', 'good', 'conversation', 'and', 'make', 'good', 'contact', 'you', 'have', 'to', 'appear', 'especially', 'self', 'confident', 'and', 'even', 'risk', 'talking', 'to', 'some', 'people', 'which', 'are', 'no', 'good', 'to', 'talk', 'to', 'at', 'all', 'until', 'you', 'meet', 'one', 'person', 'which', 'you', 'have', 'good', 'connection', 'to'];['feel', 'fake', 'because', 'think', 'if', 'you', 'really', 'want', 'to', 'have', 'good', 'conversation', 'and', 'make', 'good', 'contact', 'you', 'have', 'to', 'appear', 'especially', 'self', 'confident', 'and', 'even', 'risk', 'talking', 'to', 'some', 'people', 'which', 'are', 'no', 'good', 'to', 'talk', 'to', 'at', 'all', 'until', 'you', 'meet', 'one', 'person', 'which', 'you', 'have', 'good', 'connection', 'to'];feel fake because think if you really want to have good conversation and make good contact you have to appear especially self confident and even risk talking to some people which are no good to talk to at all until you meet one person which you have good connection to
954;i went around for the rest of the day feeling distressed that i changed my appearance based on someones comments how i made myself even by coincidence more appealing to him and that just felt wrong wrong wrong;went around for the rest of the day feeling distressed that changed my appearance based on someones comments how made myself even by coincidence more appealing to him and that just felt wrong wrong wrong;['went', 'around', 'for', 'the', 'rest', 'of', 'the', 'day', 'feeling', 'distressed', 'that', 'changed', 'my', 'appearance', 'based', 'on', 'someones', 'comments', 'how', 'made', 'myself', 'even', 'by', 'coincidence', 'more', 'appealing', 'to', 'him', 'and', 'that', 'just', 'felt', 'wrong', 'wrong', 'wrong'];['went', 'around', 'for', 'the', 'rest', 'of', 'the', 'day', 'feeling', 'distressed', 'that', 'changed', 'my', 'appearance', 'based', 'on', 'someones', 'comments', 'how', 'made', 'myself', 'even', 'by', 'coincidence', 'more', 'appealing', 'to', 'him', 'and', 'that', 'just', 'felt', 'wrong', 'wrong', 'wrong'];went around for the rest of the day feeling distressed that changed my appearance based on someones comments how made myself even by coincidence more appealing to him and that just felt wrong wrong wrong
955;i really enjoy cabernet for how aggressive the flavors tend to be and while this isnt exactly a light wine it still has a general congenial feel to it that i find a very pleasant;really enjoy cabernet for how aggressive the flavors tend to be and while this isnt light wine it still has general congenial feel to it that find very pleasant;['really', 'enjoy', 'cabernet', 'for', 'how', 'aggressive', 'the', 'flavors', 'tend', 'to', 'be', 'and', 'while', 'this', 'isnt', 'light', 'wine', 'it', 'still', 'has', 'general', 'congenial', 'feel', 'to', 'it', 'that', 'find', 'very', 'pleasant'];['really', 'enjoy', 'cabernet', 'for', 'how', 'aggressive', 'the', 'flavors', 'tend', 'to', 'be', 'and', 'while', 'this', 'isnt', 'light', 'wine', 'it', 'still', 'has', 'general', 'congenial', 'feel', 'to', 'it', 'that', 'find', 'very', 'pleasant'];really enjoy cabernet for how aggressive the flavors tend to be and while this isnt light wine it still has general congenial feel to it that find very pleasant
956;i woke up very early this morning feeling joyful;woke up very early this morning feeling joyful;['woke', 'up', 'very', 'early', 'this', 'morning', 'feeling', 'joyful'];['woke', 'up', 'very', 'early', 'this', 'morning', 'feeling', 'joyful'];woke up very early this morning feeling joyful
957;i wonder how it feels to be loved by someone you love;wonder how it feels to be loved by someone you love;['wonder', 'how', 'it', 'feels', 'to', 'be', 'loved', 'by', 'someone', 'you', 'love'];['wonder', 'how', 'it', 'feels', 'to', 'be', 'loved', 'by', 'someone', 'you', 'love'];wonder how it feels to be loved by someone you love
958;i feel as if i havent blogged in ages are at least truly blogged i am doing an update cute little post today;feel as if havent blogged in ages are at least truly blogged am doing an update cute little post today;['feel', 'as', 'if', 'havent', 'blogged', 'in', 'ages', 'are', 'at', 'least', 'truly', 'blogged', 'am', 'doing', 'an', 'update', 'cute', 'little', 'post', 'today'];['feel', 'as', 'if', 'havent', 'blogged', 'in', 'ages', 'are', 'at', 'least', 'truly', 'blogged', 'am', 'doing', 'an', 'update', 'cute', 'little', 'post', 'today'];feel as if havent blogged in ages are at least truly blogged am doing an update cute little post today
959;i feel cared for and accepted;feel cared for and accepted;['feel', 'cared', 'for', 'and', 'accepted'];['feel', 'cared', 'for', 'and', 'accepted'];feel cared for and accepted
960;i feel passionate about knitting and seeing really good films and the surprisingly awesome tv programs that are on now i cant believe i just wrote that;feel passionate about knitting and seeing really good films and the surprisingly awesome tv programs that are on now cant believe just wrote that;['feel', 'passionate', 'about', 'knitting', 'and', 'seeing', 'really', 'good', 'films', 'and', 'the', 'surprisingly', 'awesome', 'tv', 'programs', 'that', 'are', 'on', 'now', 'cant', 'believe', 'just', 'wrote', 'that'];['feel', 'passionate', 'about', 'knitting', 'and', 'seeing', 'really', 'good', 'films', 'and', 'the', 'surprisingly', 'awesome', 'tv', 'programs', 'that', 'are', 'on', 'now', 'cant', 'believe', 'just', 'wrote', 'that'];feel passionate about knitting and seeing really good films and the surprisingly awesome tv programs that are on now cant believe just wrote that
961;im feeling depressed again;im feeling depressed again;['im', 'feeling', 'depressed', 'again'];['im', 'feeling', 'depressed', 'again'];im feeling depressed again
962;i feel i feel drained i feel as if talking to others will finish all my strength;feel feel drained feel as if talking to others will finish all my strength;['feel', 'feel', 'drained', 'feel', 'as', 'if', 'talking', 'to', 'others', 'will', 'finish', 'all', 'my', 'strength'];['feel', 'feel', 'drained', 'feel', 'as', 'if', 'talking', 'to', 'others', 'will', 'finish', 'all', 'my', 'strength'];feel feel drained feel as if talking to others will finish all my strength
963;i am feeling ok lots of bruising to my arms where they decided to remove blood from me;am feeling ok lots of bruising to my arms where they decided to remove blood from me;['am', 'feeling', 'ok', 'lots', 'of', 'bruising', 'to', 'my', 'arms', 'where', 'they', 'decided', 'to', 'remove', 'blood', 'from', 'me'];['am', 'feeling', 'ok', 'lots', 'of', 'bruising', 'to', 'my', 'arms', 'where', 'they', 'decided', 'to', 'remove', 'blood', 'from', 'me'];am feeling ok lots of bruising to my arms where they decided to remove blood from me
964;i just don t feel that the others are worthwhile;just don feel that the others are worthwhile;['just', 'don', 'feel', 'that', 'the', 'others', 'are', 'worthwhile'];['just', 'don', 'feel', 'that', 'the', 'others', 'are', 'worthwhile'];just don feel that the others are worthwhile
965;im just feeling listless and bored or something;im just feeling listless and bored or something;['im', 'just', 'feeling', 'listless', 'and', 'bored', 'or', 'something'];['im', 'just', 'feeling', 'listless', 'and', 'bored', 'or', 'something'];im just feeling listless and bored or something
966;i have the joy of allowing kids to feel like the valued treasures that they are and to just have a blast being a kid alongside with them but can i just say its an incredibly humbling experience to have influence into a childs life and to know that what you do and say is being internalized;have the joy of allowing kids to feel like the valued treasures that they are and to just have blast being kid alongside with them but can just say its an incredibly humbling to have influence into childs life and to know that what you do and say is being internalized;['have', 'the', 'joy', 'of', 'allowing', 'kids', 'to', 'feel', 'like', 'the', 'valued', 'treasures', 'that', 'they', 'are', 'and', 'to', 'just', 'have', 'blast', 'being', 'kid', 'alongside', 'with', 'them', 'but', 'can', 'just', 'say', 'its', 'an', 'incredibly', 'humbling', 'to', 'have', 'influence', 'into', 'childs', 'life', 'and', 'to', 'know', 'that', 'what', 'you', 'do', 'and', 'say', 'is', 'being', 'internalized'];['have', 'the', 'joy', 'of', 'allowing', 'kids', 'to', 'feel', 'like', 'the', 'valued', 'treasures', 'that', 'they', 'are', 'and', 'to', 'just', 'have', 'blast', 'being', 'kid', 'alongside', 'with', 'them', 'but', 'can', 'just', 'say', 'its', 'an', 'incredibly', 'humbling', 'to', 'have', 'influence', 'into', 'childs', 'life', 'and', 'to', 'know', 'that', 'what', 'you', 'do', 'and', 'say', 'is', 'being', 'internalized'];have the joy of allowing kids to feel like the valued treasures that they are and to just have blast being kid alongside with them but can just say its an incredibly humbling to have influence into childs life and to know that what you do and say is being internalized
967;i sometimes feel irritated at the thought of spending money on a few annuals to spruce up my doorstep;sometimes feel irritated at the thought of spending money on few annuals to spruce up my doorstep;['sometimes', 'feel', 'irritated', 'at', 'the', 'thought', 'of', 'spending', 'money', 'on', 'few', 'annuals', 'to', 'spruce', 'up', 'my', 'doorstep'];['sometimes', 'feel', 'irritated', 'at', 'the', 'thought', 'of', 'spending', 'money', 'on', 'few', 'annuals', 'to', 'spruce', 'up', 'my', 'doorstep'];sometimes feel irritated at the thought of spending money on few annuals to spruce up my doorstep
968;i wish i could bottle her squeals of delight and take them out whenever im feeling grumpy;wish could bottle her squeals of delight and take them out whenever im feeling grumpy;['wish', 'could', 'bottle', 'her', 'squeals', 'of', 'delight', 'and', 'take', 'them', 'out', 'whenever', 'im', 'feeling', 'grumpy'];['wish', 'could', 'bottle', 'her', 'squeals', 'of', 'delight', 'and', 'take', 'them', 'out', 'whenever', 'im', 'feeling', 'grumpy'];wish could bottle her squeals of delight and take them out whenever im feeling grumpy
969;i have been feeling overwhelmed with it all and needing to take time out;have been feeling overwhelmed with it all and needing to take time out;['have', 'been', 'feeling', 'overwhelmed', 'with', 'it', 'all', 'and', 'needing', 'to', 'take', 'time', 'out'];['have', 'been', 'feeling', 'overwhelmed', 'with', 'it', 'all', 'and', 'needing', 'to', 'take', 'time', 'out'];have been feeling overwhelmed with it all and needing to take time out
970;im feeling dangerous and ill just write and figure out where the hell itll take me;im feeling dangerous and ill just write and figure out where the hell itll take me;['im', 'feeling', 'dangerous', 'and', 'ill', 'just', 'write', 'and', 'figure', 'out', 'where', 'the', 'hell', 'itll', 'take', 'me'];['im', 'feeling', 'dangerous', 'and', 'ill', 'just', 'write', 'and', 'figure', 'out', 'where', 'the', 'hell', 'itll', 'take', 'me'];im feeling dangerous and ill just write and figure out where the hell itll take me
971;i honestly thought impossible at this point i feel pretty;honestly thought impossible at this point feel pretty;['honestly', 'thought', 'impossible', 'at', 'this', 'point', 'feel', 'pretty'];['honestly', 'thought', 'impossible', 'at', 'this', 'point', 'feel', 'pretty'];honestly thought impossible at this point feel pretty
972;i have found that some korean men are turning to foreign women because of the freedom they feel it can be easily accounted for that dating between koreans can be a casual thing but more often than not it tends to be a serious matter;have found that some korean men are turning to foreign women because of the freedom they feel it can be easily accounted for that dating between koreans can be casual thing but more often than not it tends to be serious matter;['have', 'found', 'that', 'some', 'korean', 'men', 'are', 'turning', 'to', 'foreign', 'women', 'because', 'of', 'the', 'freedom', 'they', 'feel', 'it', 'can', 'be', 'easily', 'accounted', 'for', 'that', 'dating', 'between', 'koreans', 'can', 'be', 'casual', 'thing', 'but', 'more', 'often', 'than', 'not', 'it', 'tends', 'to', 'be', 'serious', 'matter'];['have', 'found', 'that', 'some', 'korean', 'men', 'are', 'turning', 'to', 'foreign', 'women', 'because', 'of', 'the', 'freedom', 'they', 'feel', 'it', 'can', 'be', 'easily', 'accounted', 'for', 'that', 'dating', 'between', 'koreans', 'can', 'be', 'casual', 'thing', 'but', 'more', 'often', 'than', 'not', 'it', 'tends', 'to', 'be', 'serious', 'matter'];have found that some korean men are turning to foreign women because of the freedom they feel it can be easily accounted for that dating between koreans can be casual thing but more often than not it tends to be serious matter
973;i think i was also having a pity party because i am feeling a bit frustrated with how little time i seem to have each day;think was also having pity party because am feeling bit frustrated with how little time seem to have each day;['think', 'was', 'also', 'having', 'pity', 'party', 'because', 'am', 'feeling', 'bit', 'frustrated', 'with', 'how', 'little', 'time', 'seem', 'to', 'have', 'each', 'day'];['think', 'was', 'also', 'having', 'pity', 'party', 'because', 'am', 'feeling', 'bit', 'frustrated', 'with', 'how', 'little', 'time', 'seem', 'to', 'have', 'each', 'day'];think was also having pity party because am feeling bit frustrated with how little time seem to have each day
974;i forgive myself for accepting and allowing myself to have the feeling that i am going to get punished for doing something wrong;forgive myself for accepting and allowing myself to have the feeling that am going to get punished for doing something wrong;['forgive', 'myself', 'for', 'accepting', 'and', 'allowing', 'myself', 'to', 'have', 'the', 'feeling', 'that', 'am', 'going', 'to', 'get', 'punished', 'for', 'doing', 'something', 'wrong'];['forgive', 'myself', 'for', 'accepting', 'and', 'allowing', 'myself', 'to', 'have', 'the', 'feeling', 'that', 'am', 'going', 'to', 'get', 'punished', 'for', 'doing', 'something', 'wrong'];forgive myself for accepting and allowing myself to have the feeling that am going to get punished for doing something wrong
975;i feel like i m part of the problem when i call out missy jane s trusting an angel cover for not airbrushing out all the real skin on the cover model s;feel like part of the problem when call out missy jane trusting an angel cover for not airbrushing out all the real skin on the cover model;['feel', 'like', 'part', 'of', 'the', 'problem', 'when', 'call', 'out', 'missy', 'jane', 'trusting', 'an', 'angel', 'cover', 'for', 'not', 'airbrushing', 'out', 'all', 'the', 'real', 'skin', 'on', 'the', 'cover', 'model'];['feel', 'like', 'part', 'of', 'the', 'problem', 'when', 'call', 'out', 'missy', 'jane', 'trusting', 'an', 'angel', 'cover', 'for', 'not', 'airbrushing', 'out', 'all', 'the', 'real', 'skin', 'on', 'the', 'cover', 'model'];feel like part of the problem when call out missy jane trusting an angel cover for not airbrushing out all the real skin on the cover model
976;i might feel offended at times from hearing statements where that i strongly disagree;might feel offended at times from hearing statements where that strongly disagree;['might', 'feel', 'offended', 'at', 'times', 'from', 'hearing', 'statements', 'where', 'that', 'strongly', 'disagree'];['might', 'feel', 'offended', 'at', 'times', 'from', 'hearing', 'statements', 'where', 'that', 'strongly', 'disagree'];might feel offended at times from hearing statements where that strongly disagree
977;i can easily feel quite pressured by routines and i really noticed the difference while i was away;can easily feel quite pressured by routines and really noticed the difference while was away;['can', 'easily', 'feel', 'quite', 'pressured', 'by', 'routines', 'and', 'really', 'noticed', 'the', 'difference', 'while', 'was', 'away'];['can', 'easily', 'feel', 'quite', 'pressured', 'by', 'routines', 'and', 'really', 'noticed', 'the', 'difference', 'while', 'was', 'away'];can easily feel quite pressured by routines and really noticed the difference while was away
978;i was feeling the need for some christmas crafting this week especially after seeing a couple of lovely quilty christmas projects at stitch group;was feeling the need for some christmas crafting this week especially after seeing couple of lovely quilty christmas projects at stitch group;['was', 'feeling', 'the', 'need', 'for', 'some', 'christmas', 'crafting', 'this', 'week', 'especially', 'after', 'seeing', 'couple', 'of', 'lovely', 'quilty', 'christmas', 'projects', 'at', 'stitch', 'group'];['was', 'feeling', 'the', 'need', 'for', 'some', 'christmas', 'crafting', 'this', 'week', 'especially', 'after', 'seeing', 'couple', 'of', 'lovely', 'quilty', 'christmas', 'projects', 'at', 'stitch', 'group'];was feeling the need for some christmas crafting this week especially after seeing couple of lovely quilty christmas projects at stitch group
979;i can cycle further than ever before and the feeling of finishing the manchester to blackpool miles then not being at all bothered at having to ride an extra mile to put;can cycle further than ever before and the feeling of finishing the manchester to blackpool miles then not being at all bothered at having to ride an mile to put;['can', 'cycle', 'further', 'than', 'ever', 'before', 'and', 'the', 'feeling', 'of', 'finishing', 'the', 'manchester', 'to', 'blackpool', 'miles', 'then', 'not', 'being', 'at', 'all', 'bothered', 'at', 'having', 'to', 'ride', 'an', 'mile', 'to', 'put'];['can', 'cycle', 'further', 'than', 'ever', 'before', 'and', 'the', 'feeling', 'of', 'finishing', 'the', 'manchester', 'to', 'blackpool', 'miles', 'then', 'not', 'being', 'at', 'all', 'bothered', 'at', 'having', 'to', 'ride', 'an', 'mile', 'to', 'put'];can cycle further than ever before and the feeling of finishing the manchester to blackpool miles then not being at all bothered at having to ride an mile to put
980;im not sure how i feel more than anything im keen to see it as a test to see if im over him yet and ready to view him as a friend;im not sure how feel more than anything im keen to see it as test to see if im over him yet and ready to view him as friend;['im', 'not', 'sure', 'how', 'feel', 'more', 'than', 'anything', 'im', 'keen', 'to', 'see', 'it', 'as', 'test', 'to', 'see', 'if', 'im', 'over', 'him', 'yet', 'and', 'ready', 'to', 'view', 'him', 'as', 'friend'];['im', 'not', 'sure', 'how', 'feel', 'more', 'than', 'anything', 'im', 'keen', 'to', 'see', 'it', 'as', 'test', 'to', 'see', 'if', 'im', 'over', 'him', 'yet', 'and', 'ready', 'to', 'view', 'him', 'as', 'friend'];im not sure how feel more than anything im keen to see it as test to see if im over him yet and ready to view him as friend
